player_name,player_id,team_name,time,adjusted_vaep
Alex Greenwood,10252.0,Manchester City WFC,84,-10.726419018554664
Alex Greenwood,10252.0,Manchester City WFC,85,-11.028892944528195
Alex Greenwood,10252.0,Manchester City WFC,86,-11.23998267921416
Alex Greenwood,10252.0,Manchester City WFC,87,-11.496146318154606
Alex Greenwood,10252.0,Manchester City WFC,88,-11.610181805629628
Alex Greenwood,10252.0,Manchester City WFC,89,-11.840785150513193
Alex Greenwood,10252.0,Manchester City WFC,90,-11.85229488196743
Alex Greenwood,10252.0,Manchester City WFC,91,-11.992822558714185
Alex Greenwood,10252.0,Manchester City WFC,92,-12.077520034778649
Alex Greenwood,10252.0,Manchester City WFC,93,-12.140658271540849
Alex Greenwood,10252.0,Manchester City WFC,94,-12.28996432777835
Alex Greenwood,10252.0,Manchester City WFC,95,-12.604264694478015
Alex Greenwood,10252.0,Manchester City WFC,96,-12.510493043517883
Alex Greenwood,10252.0,Manchester City WFC,97,-18.00621540305282
Alex Greenwood,10252.0,Manchester City WFC,98,-20.276284618187137
Alex Greenwood,10252.0,Manchester City WFC,99,-23.10915892106217
Alex Greenwood,10252.0,Manchester City WFC,100,-23.10915892106217
Chloe Kelly,15570.0,Manchester City WFC,3,-1.3227794149024217
Chloe Kelly,15570.0,Manchester City WFC,4,-1.6316286385526038
Chloe Kelly,15570.0,Manchester City WFC,5,-1.6985611096369913
Chloe Kelly,15570.0,Manchester City WFC,6,-2.0953674995401554
Chloe Kelly,15570.0,Manchester City WFC,7,-2.1468680490079968
Chloe Kelly,15570.0,Manchester City WFC,8,-2.078437983921715
Chloe Kelly,15570.0,Manchester City WFC,9,-1.2693027410542554
Chloe Kelly,15570.0,Manchester City WFC,10,-1.3843051189837026
Chloe Kelly,15570.0,Manchester City WFC,11,-1.098065732515717
Chloe Kelly,15570.0,Manchester City WFC,12,-1.3590267695698004
Chloe Kelly,15570.0,Manchester City WFC,13,-1.377075012736084
Chloe Kelly,15570.0,Manchester City WFC,14,-1.2253811607817657
Chloe Kelly,15570.0,Manchester City WFC,15,-1.187568541964244
Chloe Kelly,15570.0,Manchester City WFC,16,-1.1202841771080776
Chloe Kelly,15570.0,Manchester City WFC,17,-1.587391801754
Chloe Kelly,15570.0,Manchester City WFC,18,-1.9345728203862897
Chloe Kelly,15570.0,Manchester City WFC,19,-1.9098491900589845
Chloe Kelly,15570.0,Manchester City WFC,20,-1.6684390559082936
Chloe Kelly,15570.0,Manchester City WFC,21,-1.678871604448064
Chloe Kelly,15570.0,Manchester City WFC,22,-1.6792062108491232
Chloe Kelly,15570.0,Manchester City WFC,23,-1.647439281281029
Chloe Kelly,15570.0,Manchester City WFC,24,-1.4328071160344436
Chloe Kelly,15570.0,Manchester City WFC,25,-0.686552164732906
Chloe Kelly,15570.0,Manchester City WFC,26,-0.8485485337598238
Chloe Kelly,15570.0,Manchester City WFC,27,-0.8485485337598238
Chloe Kelly,15570.0,Manchester City WFC,28,-0.9732609020903201
Chloe Kelly,15570.0,Manchester City WFC,29,-1.0125824678206843
Chloe Kelly,15570.0,Manchester City WFC,30,-0.7876379747001312
Chloe Kelly,15570.0,Manchester City WFC,31,-0.8005235027673805
Chloe Kelly,15570.0,Manchester City WFC,32,-0.757801157537844
Chloe Kelly,15570.0,Manchester City WFC,33,-0.492075248122931
Chloe Kelly,15570.0,Manchester City WFC,34,-0.48179631470287604
Chloe Kelly,15570.0,Manchester City WFC,35,-1.08681777827158
Chloe Kelly,15570.0,Manchester City WFC,36,0.13928564179995284
Chloe Kelly,15570.0,Manchester City WFC,37,0.06043880924839797
Chloe Kelly,15570.0,Manchester City WFC,38,-0.0976661502449467
Chloe Kelly,15570.0,Manchester City WFC,39,-0.3760314651167331
Chloe Kelly,15570.0,Manchester City WFC,40,-0.587734113487679
Chloe Kelly,15570.0,Manchester City WFC,41,-0.6594251253548501
Chloe Kelly,15570.0,Manchester City WFC,42,-1.1837277393927168
Chloe Kelly,15570.0,Manchester City WFC,43,-1.3592570100621661
Chloe Kelly,15570.0,Manchester City WFC,44,-1.4219936573787755
Chloe Kelly,15570.0,Manchester City WFC,45,-1.6774428417373908
Chloe Kelly,15570.0,Manchester City WFC,46,-1.6774428417373908
Chloe Kelly,15570.0,Manchester City WFC,47,-2.36864270857705
Chloe Kelly,15570.0,Manchester City WFC,48,-2.4484721010187376
Chloe Kelly,15570.0,Manchester City WFC,49,-2.3493200222908657
Chloe Kelly,15570.0,Manchester City WFC,50,-2.288680194368039
Chloe Kelly,15570.0,Manchester City WFC,51,-2.4687578091652744
Chloe Kelly,15570.0,Manchester City WFC,52,-2.308714864362942
Chloe Kelly,15570.0,Manchester City WFC,53,-2.083805559971894
Chloe Kelly,15570.0,Manchester City WFC,54,-2.086267912113137
Chloe Kelly,15570.0,Manchester City WFC,55,-2.2069424624735405
Chloe Kelly,15570.0,Manchester City WFC,56,-2.294216352042789
Chloe Kelly,15570.0,Manchester City WFC,57,-1.2967893604854364
Chloe Kelly,15570.0,Manchester City WFC,58,-0.8703749975106903
Chloe Kelly,15570.0,Manchester City WFC,59,-0.28933087900602883
Chloe Kelly,15570.0,Manchester City WFC,60,-0.4750839956660375
Chloe Kelly,15570.0,Manchester City WFC,61,-0.7910055819049177
Chloe Kelly,15570.0,Manchester City WFC,62,-0.8149398644699699
Chloe Kelly,15570.0,Manchester City WFC,63,-0.8061670960904224
Chloe Kelly,15570.0,Manchester City WFC,64,-0.7252588409819601
Chloe Kelly,15570.0,Manchester City WFC,65,-0.9581480499275742
Chloe Kelly,15570.0,Manchester City WFC,66,-0.9206800221453317
Chloe Kelly,15570.0,Manchester City WFC,67,-1.0878964693022304
Chloe Kelly,15570.0,Manchester City WFC,68,-1.3143921957850995
Chloe Kelly,15570.0,Manchester City WFC,69,-1.3519032866872984
Chloe Kelly,15570.0,Manchester City WFC,70,-1.3846169781120852
Chloe Kelly,15570.0,Manchester City WFC,71,-1.1989600337442998
Chloe Kelly,15570.0,Manchester City WFC,72,-0.6952433856846154
Chloe Kelly,15570.0,Manchester City WFC,73,-0.7952359698997287
Chloe Kelly,15570.0,Manchester City WFC,74,-1.0405872650840278
Chloe Kelly,15570.0,Manchester City WFC,75,-1.050770663870121
Chloe Kelly,15570.0,Manchester City WFC,76,-1.050770663870121
Chloe Kelly,15570.0,Manchester City WFC,77,-1.0878114620939099
Chloe Kelly,15570.0,Manchester City WFC,78,-1.1965162772429925
Chloe Kelly,15570.0,Manchester City WFC,79,-1.1965162772429925
Chloe Kelly,15570.0,Manchester City WFC,80,-1.1965162772429925
Chloe Kelly,15570.0,Manchester City WFC,81,-1.2866176850368691
Chloe Kelly,15570.0,Manchester City WFC,82,-1.3498148502331335
Chloe Kelly,15570.0,Manchester City WFC,83,-1.2736148008732981
Chloe Kelly,15570.0,Manchester City WFC,84,-1.2736148008732981
