Period;Time_sec;Home_0_Metabolic_power;Home_1_Metabolic_power;Home_2_Metabolic_power;Home_3_Metabolic_power;Home_4_Metabolic_power;Home_5_Metabolic_power;Home_6_Metabolic_power;Home_7_Metabolic_power;Home_8_Metabolic_power;Home_9_Metabolic_power;Home_10_Metabolic_power;Home_11_Metabolic_power;Home_12_Metabolic_power;Home_13_Metabolic_power;Home_14_Metabolic_power;Home_15_Metabolic_power;Home_16_Metabolic_power;time;official_clock
1.0;0.0;16.138429503304796;13.461508500450057;20.51544997793244;7.992383336330216;76.71150698474176;4.248749637021859;3.6938826695247675;6.226737956741145;7.385969461286468;0.5248765545090939;12.715252441213899;;;;;;;0;0
1.0;1.0;108.25249120067268;57.51263683041004;106.59150687318089;60.95330027309268;427.95455072903826;230.75891457029923;13.367982281140325;43.92332119087892;118.82753082123166;10.107699689533032;81.6230823421504;;;;;;;1;1
1.0;2.0;214.92595439167167;138.45375013595165;365.216649549374;142.68599480910117;742.9106775326551;582.2591626535739;36.908738391898765;168.00800661327;287.70065267172697;43.47837431348214;297.2404208358288;;;;;;;1;1
1.0;3.0;320.04474735182197;280.9952564564052;569.4694091424421;247.51700885550343;960.331253597304;757.9563344509219;117.2726200339424;257.48345586338655;412.26971747568905;165.94255007355252;491.6346812203997;;;;;;;1;1
1.0;4.0;411.6494977149178;432.4848643740567;737.1725401288003;624.3467436053786;1194.0449357382556;844.0945145949267;180.00042050231892;297.19971285225756;509.89112665241737;443.812720613188;684.4042981276199;;;;;;;1;1
1.0;5.0;505.8130407653968;529.3963210004474;901.0251921403162;932.0259588464501;1330.4806485260895;931.8260350778769;254.56851070015261;347.99346047851884;582.8473291551592;665.9155310796712;793.973983069929;;;;;;;1;1
1.0;6.0;600.4273012772439;677.9386287205248;1053.1197514802432;1087.938331552346;1441.038099585085;1161.7577903487522;533.5256844267202;658.1938912456155;644.038553672145;962.243532220838;1245.5849677342937;;;;;;;1;1
1.0;7.0;705.72475048404;804.6388264881226;1171.07811915159;1208.1807514511936;1633.9022364396255;1534.1619474374459;655.7673705148977;908.7087422648511;732.0499162475295;1132.3983788580745;1845.9290141597717;;;;;;;1;1
1.0;8.0;813.4975082643518;941.0071464376598;1259.0189936903546;1366.5683633783337;1788.9015418510344;1759.4203872274636;763.470564964603;1029.0938699992203;828.3927338744297;1236.4904209752372;2289.2863734082366;;;;;;;1;1
1.0;9.0;884.8172275060898;1063.6564339341064;1499.256646811362;1501.0149903289787;1925.193975544419;1856.5805288809427;1041.9354456519845;1130.7769747649925;921.2307435552465;1890.9468067748687;2595.83098572232;;;;;;;1;1
1.0;10.0;963.3411898430818;1138.1520228927998;1710.2365584078207;1634.2630435436313;2099.4289750714197;2420.7412355431734;1342.6748998137869;1266.5780696581116;1009.1449137793036;2556.2460515017815;2802.0169406566156;;;;;;;1;1
1.0;11.0;1054.935478994326;1331.840309544277;1948.7972484554875;1797.5751544714187;2324.055194517651;3055.1481831327465;1487.2350020227004;1599.5221787044536;1088.1926787349878;2765.7964211612707;2965.4342597759182;;;;;;;1;1
1.0;12.0;1214.7317962760706;1992.83458592825;2466.0126297364213;1947.832194928878;2726.965835949445;3221.188276543055;1951.155416195597;1977.3450455393693;1203.5570151285515;2967.6005531894207;3183.643363770149;;;;;;;1;1
1.0;13.0;1540.1540096502567;2537.5669793089196;2860.049838935472;2105.777700147609;2936.4024859850197;3364.0289634334795;2413.675876072905;2232.007590688176;1274.297546427101;3471.575851719806;3523.4276950835124;;;;;;;1;1
1.0;14.0;1723.2997947648848;2803.598733403734;2999.308466401754;2376.151220526755;3043.1558904249027;3499.074143107482;2602.2360298414224;2370.5361800987566;1300.1512158501682;3739.5188698899874;3811.0576524267726;;;;;;;1;1
1.0;15.0;1900.9858634631573;2986.954900862926;3187.6500594685867;2567.096873218432;3200.2059014098722;3567.034757134046;2708.8678121903126;2718.4139407309895;1358.126914011263;4363.3049603691525;4394.534590155607;;;;;;;1;1
1.0;16.0;2191.9712236167247;3178.4108337484304;3835.863877928686;2970.0164794498346;3613.2624374345473;3646.3840826494857;2979.2829264469565;3317.4940837527315;1461.2474447553127;4719.731730782861;4820.376333566382;;;;;;;1;1
1.0;17.0;2393.1858300369336;3356.008823805917;4378.32649326025;3387.9954228691563;4239.422444906848;3742.0831056998413;3474.049478255287;3728.2896922754544;1697.4718486155828;5189.25979793545;5259.684863300604;;;;;;;1;1
1.0;18.0;2578.612303299674;3528.197612957409;4734.125097755743;3811.4621429914323;4613.05646808183;3829.1683863873245;3851.008227174251;4011.601648687707;2010.7783183934482;5511.53606556605;5629.379746558352;;;;;;;1;1
1.0;19.0;2709.254629339607;3761.7599445347437;5002.283046094952;4112.432085006861;4978.685490151582;3874.9386991717865;4092.6130722496846;4261.0083058003065;2103.746555105194;5744.9369401344375;5908.289538699231;;;;;;;1;1
1.0;20.0;2773.1985633010245;3850.4428227021763;5147.845224448073;4288.799753621289;5130.877981377323;4000.637177075766;4233.549364161196;4477.046132376554;2172.302615127713;5892.672893219206;6083.480723517077;;;;;;;1;1
1.0;21.0;2988.8590711888064;4287.45552592129;5338.226425934555;4416.26691730155;5282.162423906507;4352.545023389511;4666.197128488677;4609.259224987457;2276.553707335598;6120.1832797755;6220.491834808159;;;;;;;1;1
1.0;22.0;3295.585634583684;4613.8255341531385;5545.11362530533;4532.114293791675;5409.275011907788;4719.431821523488;5163.167579784374;4684.5494244543515;2397.4642535256044;6318.536685235433;6376.1431983935845;;;;;;;1;1
1.0;23.0;3555.265466718516;4789.072988714484;5693.601170148072;4667.6295283888685;5536.4438215647915;5014.334495855355;5447.9028280626635;4904.436070859344;2500.3927626038317;6499.968483064718;6561.437247627266;;;;;;;1;1
1.0;24.0;3802.571774817179;4883.682848198754;5820.7081051391815;4856.320473049054;5798.903138354117;5352.862948894584;6269.737775799913;4974.219455464268;2604.288136894909;6917.482379282054;7123.934108573856;;;;;;;1;1
1.0;25.0;3889.976331462329;5017.727188100415;5946.825773387288;5086.989534856876;6243.2347409226395;5631.143215199042;6753.112369356857;5226.729872679232;2694.53817298572;7233.215826263376;7661.793822267293;;;;;;;1;1
1.0;26.0;4087.0043470380974;5145.55998892569;6073.871053004799;5242.167985326478;6549.620410345215;5823.100945546898;6960.788271876392;5873.010689672275;2785.2334842552013;7446.43672997228;7899.796137542236;;;;;;;1;1
1.0;27.0;4242.276589636315;5293.824933911574;6210.8327948286;5319.951939322316;6776.623542282571;5934.563023598454;7116.660136844194;6211.664120904802;2848.2080263882567;7683.4785775587925;8024.862039844758;;;;;;;1;1
1.0;28.0;4418.725071420133;5455.969462968642;6351.564754660255;5474.2052686080415;6960.539024092528;6058.434829555748;7236.274602468781;6354.850586236355;2908.2789422113433;7842.480048892949;8081.898549780311;;;;;;;1;1
1.0;29.0;4692.428152040458;5617.75393854384;6542.182708614549;5781.903015875797;7114.765661508078;6201.766921366171;7318.481749564026;6475.478134006437;2980.6868258608133;7938.486296331526;8177.507440028401;;;;;;;1;1
1.0;30.0;4951.797187900596;5682.093595624843;6760.336328328463;5954.188068288445;7407.268304364044;6730.250227368989;7431.987272676408;6593.790501261852;3083.280304735028;8103.440327514254;8311.88229123353;;;;;;;1;1
1.0;31.0;5079.320060211139;5827.593398613494;7414.158512442389;6191.811134559228;7753.9554194756165;7444.242537297995;7777.04313429681;6865.266837194754;3284.41571222064;8597.246658384998;8533.773544431962;;;;;;;1;1
1.0;32.0;5200.9845514928775;6425.350620751301;7771.723501221106;6871.6863657865615;7914.910956163499;7627.523605557261;8464.239894468443;7642.107728502143;3413.525709653213;9262.213579620378;9010.1630445055;;;;;;;1;1
1.0;33.0;5336.419030008696;7178.770050472851;8276.814832511393;7346.124897057672;8047.176749503023;7769.407908229228;9018.197181778143;8407.685257806696;3471.2709631102693;9559.241227599978;9569.146117544748;;;;;;;1;1
1.0;34.0;5416.084162639719;7699.1671032390495;9156.991021844016;7971.120057985274;8179.138577611437;7906.985228764418;9437.303643396925;8828.37155232985;3550.075111391503;10150.057916031734;10059.545449343499;;;;;;;1;1
1.0;35.0;5517.1991057941395;7976.863291198002;9557.028594967684;8336.924421891335;8287.637800592775;8039.132182830296;9728.229459318545;9005.724505974867;3622.4929518210183;10474.85460574933;10336.810412248358;;;;;;;1;1
1.0;36.0;5624.509287257283;8160.809399323135;9724.633035278506;8830.949378729962;8338.956845203928;8237.652493359905;9883.594994906249;9158.933299855908;3666.899651293246;10712.80568375223;10515.798367490028;;;;;;;1;1
1.0;37.0;5674.797597111902;8380.121549152442;9920.180497614552;9129.877949561378;8453.49254385432;8521.2823552472;10109.407981586766;9275.244910095462;3712.593765563084;11120.668729622159;11054.698309029172;;;;;;;1;1
